Name	logFC	logCPM	PValue	FDR		Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
c240193_g2_i2	-1.018261258	6.705388277	0.000190836	0.005208938	[BLASTED, MAPPED, ANNOTATED]	c240193_g2_i2	SLM39682.1mannose-6-phosphate isomerase	2112	1	1.2E-194	87.87	4	P:GO:0005975; P:GO:0009298; F:GO:0004476; F:GO:0008270	P:carbohydrate metabolic process; P:GDP-mannose biosynthetic process; F:mannose-6-phosphate isomerase activity; F:zinc ion binding	EC:5.3.1.8	Mannose-6-phosphate isomerase			
c219047_g1_i1	-3.781873214	4.745829237	0.000220096	0.005869582	[BLASTED]	c219047_g1_i1	OCL02963.1Clavaminate synthase-like protein	2342	1	9.5E-100	69.7								
c235060_g1_i3	-3.579186813	3.675797133	0.00022887	0.006045445	[BLASTED]	c235060_g1_i3	CEL11790.1hypothetical protein ASPCAL14886	2673	1	1.3E-8	46.36								
c244298_g1_i2	-0.937561473	7.915512438	0.00024131	0.006313886	[BLASTED, MAPPED]	c244298_g1_i2	SLM38744.1hypothetical protein LPUS_09061	4337	1	1.2E-159	69.31	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c228731_g1_i1	-1.872097357	11.83083425	0.000245168	0.00638472
c240721_g1_i1	-0.997469243	6.52598469	0.000252876	0.006554692	[BLASTED, MAPPED, ANNOTATED]	c240721_g1_i1	SLM36222.1molybdenum cofactor sulfurase protein	4152	1	8.5E-253	82.05	10	P:GO:0006357; P:GO:0006777; F:GO:0000981; F:GO:0008265; F:GO:0008270; F:GO:0016829; F:GO:0030151; F:GO:0030170; F:GO:0102867; C:GO:0005634	P:regulation of transcription by RNA polymerase II; P:Mo-molybdopterin cofactor biosynthetic process; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:Mo-molybdopterin cofactor sulfurase activity; F:zinc ion binding; F:lyase activity; F:molybdenum ion binding; F:pyridoxal phosphate binding; F:molybdenum cofactor sulfurtransferase activity; C:nucleus	EC:2.8.1.9	Molybdenum cofactor sulfurtransferase			
c245274_g1_i2	-3.44782089	8.471782599	0.000277844	0.007041993	[BLASTED]	c245274_g1_i2	CZR54874.1uncharacterized protein PAC_04758	1452	1	6.8E-64	71.12								
c245695_g2_i1	-0.967604426	8.334457029	0.000281925	0.007050692	[BLASTED, MAPPED]	c245695_g2_i1	SLM35197.1Zn(2)-C6 fungal-type DNA-binding domain	3181	1	1.2E-222	64.43	6	P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0003677; F:GO:0008270; C:GO:0005634	P:regulation of transcription, DNA-templated; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; C:nucleus					
c245159_g5_i1	-2.842501807	5.113920586	0.000285572	0.007103453	[BLASTED]	c245159_g5_i1	CCF54161.1probable GCY1-galactose-induced protein of aldo/keto reductase family	2260	1	3.6E-91	72.7								
c241401_g1_i2	-1.284613338	5.964540222	0.000295601	0.007287543	[BLASTED]	c241401_g1_i2	SLM36225.1hypothetical protein LPUS_05712	3248	1	7.0E-303	78.36								
c233517_g1_i1	-4.199192888	8.963632055	0.000305106	0.007455603	[BLASTED, MAPPED]	c233517_g1_i1	SLM34558.1Ribonuclease H-like domain	1157	1	1.1E-59	58.41	3	P:GO:0015074; F:GO:0003676; C:GO:0005634	P:DNA integration; F:nucleic acid binding; C:nucleus					
c232476_g1_i1	-1.083246213	6.695632606	0.000307943	0.007491921	[BLASTED, MAPPED]	c232476_g1_i1	SLM36946.1Zinc finger, C3HC-like	1817	1	6.8E-117	62.37	2	F:GO:0008270; C:GO:0005634	F:zinc ion binding; C:nucleus					
c239284_g1_i1	-1.20809068	5.910127147	0.000319634	0.007742392	[BLASTED, MAPPED, ANNOTATED]	c239284_g1_i1	SLM34201.1Domain of unknown function DUF2470	2981	1	1.9E-65	75.0	1	C:GO:0016020	C:membrane					
c245628_g1_i5	-1.573993963	6.564032636	0.000332253	0.007944002
c233427_g1_i2	-0.904314246	7.509640203	0.000356257	0.008373543	[BLASTED, MAPPED, ANNOTATED]	c233427_g1_i2	SLM39609.1c6 transcription factor	7955	1	7.1E-155	79.63	4	P:GO:0006357; F:GO:0000981; F:GO:0008270; C:GO:0005634	P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:zinc ion binding; C:nucleus					
c244477_g1_i1	-2.242553095	9.132270345	0.000374507	0.008765367	[BLASTED]	c244477_g1_i1	KNG52744.1nonribosomal peptide synthase	3987	1	2.9E-133	65.0								
c245363_g1_i9	-1.146406687	6.381393835	0.000413504	0.009478132	[BLASTED]	c245363_g1_i9	SLM33555.1hypothetical protein LPUS_02063	7134	1	1.6E-52	46.1								
c240861_g1_i2	-2.357547176	4.29279832	0.00043718	0.009938679	[BLASTED]	c240861_g1_i2	OCL14121.1prolyl-tRNA synthetase	1689	1	9.9E-216	81.14								
c242633_g1_i1	-1.310601768	6.044506295	0.000454038	0.010279788	[BLASTED]	c242633_g1_i1	KFY71138.1hypothetical protein V499_08663	825	1	5.7E-15	48.44								
c240741_g3_i2	-1.898663242	10.37704181	0.000463023	0.010440601	[BLASTED, MAPPED, ANNOTATED]	c240741_g3_i2	SLM40470.1beta--glucan-binding protein	6786	1	6.8E-207	83.48	3	P:GO:0005975; F:GO:0004553; C:GO:0016021	P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; C:integral component of membrane					
c227342_g1_i1	-0.913236364	7.879601197	0.000475906	0.010644548	[BLASTED, MAPPED, ANNOTATED]	c227342_g1_i1	SLM40332.1malate dehydrogenase	1709	1	6.0E-152	89.74	4	P:GO:0005975; P:GO:0006099; P:GO:0006108; F:GO:0030060	P:carbohydrate metabolic process; P:tricarboxylic acid cycle; P:malate metabolic process; F:L-malate dehydrogenase activity	EC:1.1.1.37	Malate dehydrogenase			
c235393_g1_i1	-1.053038628	6.336088912	0.000480812	0.010677761	[BLASTED, MAPPED, ANNOTATED]	c235393_g1_i1	SLM38986.1protein phosphatase 5	1899	1	1.7E-206	93.61	2	P:GO:0006470; F:GO:0004721	P:protein dephosphorylation; F:phosphoprotein phosphatase activity	EC:3.1.3.16	Protein-serine/threonine phosphatase			
c245125_g1_i3	-1.278641589	6.000523353	0.000493023	0.010895608	[BLASTED, MAPPED, ANNOTATED]	c245125_g1_i3	ORY66160.1hypothetical protein BCR38DRAFT_511934	6416	1	3.5E-309	80.29	2	F:GO:0003824; C:GO:0016021	F:catalytic activity; C:integral component of membrane					
c242693_g1_i4	-1.827223454	4.967482448	0.000601833	0.01293942	[BLASTED]	c242693_g1_i4	KFX97059.1hypothetical protein V490_02987	1071	1	5.6E-89	69.38								
c244256_g1_i6	-1.073633866	6.783061693	0.000621962	0.01321848	[BLASTED, MAPPED, ANNOTATED]	c244256_g1_i6	SLM34435.1n-acetyltransferase	5122	1	2.0E-54	75.8	1	F:GO:0016740	F:transferase activity					
c238011_g1_i7	-1.035797024	7.91892527	0.000640197	0.013451418	[BLASTED, MAPPED, ANNOTATED]	c238011_g1_i7	SLM37895.1mfs monosaccharide transporter	8521	1	7.8E-216	81.72	3	P:GO:0055085; F:GO:0022857; C:GO:0016021	P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane					
c236822_g1_i2	-1.642670469	7.306235963	0.000649712	0.013599829	[BLASTED]	c236822_g1_i2	SLM33423.1FAS1 domain	3639	1	2.2E-39	82.17								
c234121_g2_i1	-2.649453756	4.339866818	0.000707273	0.014693802	[BLASTED, MAPPED]	c234121_g2_i1	EGC48335.1serine/threonine protein kinase	1931	1	2.6E-71	51.55	6	P:GO:0006468; P:GO:0016310; F:GO:0004672; F:GO:0004674; F:GO:0005524; F:GO:0016301	P:protein phosphorylation; P:phosphorylation; F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding; F:kinase activity					
c243816_g1_i1	-1.101389353	8.827808374	0.000716759	0.014780149	[BLASTED]	c243816_g1_i1	SLM39394.1Velvet factor	5736	1	2.4E-88	61.93								
c236262_g1_i1	-3.168686686	3.601454789	0.000733709	0.015073638
c243335_g1_i2	-1.083452493	6.690945119	0.000784419	0.015938352	[BLASTED, MAPPED, ANNOTATED]	c243335_g1_i2	SLM40712.1Mechanosensitive ion channel MscS	2871	1	1.4E-307	73.67	1	C:GO:0016020	C:membrane					
c244962_g1_i5	-2.304406884	8.959748711	0.000874264	0.01744439	[BLASTED]	c244962_g1_i5	OJJ40724.1hypothetical protein ASPWEDRAFT_22881	2331	1	6.0E-22	49.78								
c244925_g3_i3	-2.598515017	4.482805202	0.001045335	0.020435576	[BLASTED, MAPPED]	c244925_g3_i3	ANM86706.1integral membrane protein	2646	1	3.3E-40	61.51	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c243711_g1_i1	-1.179920835	5.619530105	0.001046278	0.020435576	[BLASTED, MAPPED]	c243711_g1_i1	KFY03034.1hypothetical protein V490_00328	7150	1	0.0	73.78	2	P:GO:0001172; F:GO:0003968	P:transcription, RNA-templated; F:RNA-directed 5'-3' RNA polymerase activity					
c242738_g1_i5	-1.078047761	7.175234947	0.001056145	0.020555915	[BLASTED, MAPPED, ANNOTATED]	c242738_g1_i5	KKY27943.1putative alpha-galactosyltransferase	5816	1	2.4E-104	76.19	1	F:GO:0016740	F:transferase activity					
c240392_g1_i2	-0.942179074	8.467226979	0.001179641	0.022641757	[BLASTED, MAPPED, ANNOTATED]	c240392_g1_i2	SLM39171.1-beta-glucanosyltransferase gel1	2415	1	9.0E-146	79.16	3	F:GO:0016740; C:GO:0005886; C:GO:0031225	F:transferase activity; C:plasma membrane; C:anchored component of membrane					
c242447_g1_i1	-1.063159193	6.464419494	0.001194166	0.022841518	[BLASTED, MAPPED, ANNOTATED]	c242447_g1_i1	SLM35235.1Uncharacterised protein family, glycosyl hydrolase catalytic domain	1961	1	6.0E-124	84.07	1	F:GO:0016787	F:hydrolase activity					
c244724_g1_i2	-1.577019544	7.481773358	0.001214649	0.023153455	[BLASTED, MAPPED, ANNOTATED]	c244724_g1_i2	SLM34059.1atpase of hsp90 chaperone dna topoisomerase ii histidine kinase	7175	1	0.0	75.11	4	P:GO:0006464; P:GO:0007165; P:GO:0016310; F:GO:0016301	P:cellular protein modification process; P:signal transduction; P:phosphorylation; F:kinase activity					
c238948_g1_i5	-1.142363025	6.102710372	0.001260149	0.023938507	[BLASTED, MAPPED, ANNOTATED]	c238948_g1_i5	SLM37858.1ap-1 complex subunit mu-1	6980	1	3.7E-184	82.49	3	P:GO:0006886; P:GO:0016192; C:GO:0030131	P:intracellular protein transport; P:vesicle-mediated transport; C:clathrin adaptor complex					
c239006_g1_i1	-1.250642727	7.771923989	0.001363588	0.025604176	[BLASTED]	c239006_g1_i1	SLM36221.1Sterile alpha motif/pointed domain	2139	1	6.8E-230	72.49								
c244730_g1_i1	-1.457145488	9.940043183	0.001440036	0.026804966	[BLASTED, MAPPED, ANNOTATED]	c244730_g1_i1	SLM33685.1dihydroorotate dehydrogenase	6117	1	1.5E-184	72.77	3	P:GO:0008152; F:GO:0016627; C:GO:0016020	P:metabolic process; F:oxidoreductase activity, acting on the CH-CH group of donors; C:membrane					
c203396_g1_i2	-4.669540806	3.748853566	0.001454319	0.026980294	[BLASTED, MAPPED]	c203396_g1_i2	SLM37805.1hypothetical protein LPUS_07767	1811	1	5.9E-33	45.35	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c243053_g2_i4	-1.027628816	7.031392666	0.001480548	0.027375324	[BLASTED]	c243053_g2_i4	OCK77315.1hypothetical protein K432DRAFT_304509, partial	2419	1	2.4E-58	67.13								
c244893_g2_i2	-3.189621032	7.062643065	0.001485866	0.027382395	[BLASTED, MAPPED]	c244893_g2_i2	GAP92596.2hypothetical protein SAMD00023353_9200060	2590	1	1.8E-27	71.58	1	P:GO:0043386	P:mycotoxin biosynthetic process					
c237685_g1_i1	-1.342165878	8.367526127	0.001552341	0.028232246	[BLASTED, MAPPED]	c237685_g1_i1	SLM37696.1S-adenosyl-L-methionine-dependent methyltransferase-like	4836	1	4.8E-263	65.39	3	P:GO:0032259; F:GO:0008168; F:GO:0016740	P:methylation; F:methyltransferase activity; F:transferase activity					
c236931_g1_i1	-0.898357729	7.415185008	0.001570994	0.028478124	[BLASTED]	c236931_g1_i1	SLM39146.1Pal1 cell morphology	1260	1	1.9E-70	57.62								
c244993_g1_i5	-0.877435935	6.86641923	0.001580773	0.028562047	[BLASTED, MAPPED, ANNOTATED]	c244993_g1_i5	CZR67265.1probable succinate-fumarate transporter	1008	1	3.0E-143	87.54	3	P:GO:0055085; F:GO:0022857; C:GO:0016021	P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane					
c241703_g1_i7	-1.949050513	4.306801165	0.001719018	0.030759339	[BLASTED, MAPPED]	c241703_g1_i7	KIM95345.1hypothetical protein OIDMADRAFT_34111	3199	1	7.3E-95	65.05	3	P:GO:0006629; P:GO:0016042; F:GO:0016787	P:lipid metabolic process; P:lipid catabolic process; F:hydrolase activity					
c245545_g2_i3	-2.157811616	4.559205348	0.001754617	0.031295368	[BLASTED, MAPPED]	c245545_g2_i3	KIM21040.1hypothetical protein M408DRAFT_333672	5156	1	4.5E-9	45.92	2	P:GO:0006468; F:GO:0004672	P:protein phosphorylation; F:protein kinase activity					
c248002_g1_i1	-5.974754574	3.026876145	0.001820424	0.032261632
c242336_g2_i2	-1.291876906	9.656674567	0.001840546	0.03241114	[BLASTED, MAPPED]	c242336_g2_i2	SLM36004.1Uncharacterised domain, di-copper centre	5407	1	1.9E-172	67.49	3	P:GO:0055114; F:GO:0016491; F:GO:0046872	P:oxidation-reduction process; F:oxidoreductase activity; F:metal ion binding					
c240801_g1_i1	-0.951101738	7.526409212	0.001920011	0.033597156	[BLASTED]	c240801_g1_i1	OCK96274.1beta subunit of fatty acid synthase	6279	1	0.0	90.79								
c243002_g1_i1	-0.818842622	10.04771061	0.002015076	0.034930084	[BLASTED, MAPPED]	c243002_g1_i1	SLM36529.1Stem cell self-renewal protein Piwi	6276	1	1.3E-265	65.09	2	P:GO:0031047; F:GO:0003676	P:gene silencing by RNA; F:nucleic acid binding					
c240705_g4_i1	-1.84409695	5.055357137	0.002084014	0.035789545
c238723_g1_i1	-0.853197602	7.737802016	0.002129657	0.036348328	[BLASTED, MAPPED, ANNOTATED]	c238723_g1_i1	SLM40064.1Major facilitator superfamily domain, general substrate transporter	2336	1	6.8E-98	72.4	1	C:GO:0016020	C:membrane					
c244487_g2_i3	-1.703618754	9.063801996	0.002231133	0.037963477	[BLASTED, MAPPED, ANNOTATED]	c244487_g2_i3	KKZ68451.1NAD-dependent histone deacetylase SIR2	8159	1	9.0E-105	73.23	3	P:GO:0032259; F:GO:0008168; C:GO:0005622	P:methylation; F:methyltransferase activity; C:intracellular					
c240024_g1_i1	-0.913131945	6.640406334	0.002825812	0.046512702	[BLASTED]	c240024_g1_i1	OCL00379.1laccase-like multicopper oxidase	2362	1	2.6E-204	69.38								
c245657_g2_i1	-0.953223117	6.817600701	0.002895218	0.04737396	[BLASTED, MAPPED]	c245657_g2_i1	KIN04215.1hypothetical protein OIDMADRAFT_102501	9257	1	9.0E-53	63.81	1	P:GO:0006355	P:regulation of transcription, DNA-templated					
c222015_g1_i1	3.917930129	6.657045171	2.08E-29	1.15E-26	[BLASTED, MAPPED]	c222015_g1_i1	SLM34054.1hypothetical protein LPUS_02728	990	1	2.7E-56	57.01	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c242433_g1_i3	5.555595206	7.409619561	2.01E-24	8.05E-22
c244621_g4_i6	4.055142446	7.325263126	1.10E-23	4.05E-21
c243445_g1_i5	2.414700263	7.688014438	1.32E-20	4.32E-18	[BLASTED, MAPPED]	c243445_g1_i5	SLM39471.1SAM-dependent methyltransferase, EsaF-type, putative	6730	1	1.1E-246	62.84	3	P:GO:0032259; F:GO:0008168; F:GO:0016740	P:methylation; F:methyltransferase activity; F:transferase activity					
c234684_g1_i1	3.167172488	8.293823032	1.01E-18	2.81E-16	[BLASTED]	c234684_g1_i1	SLM33901.1Ribosome maturation protein SBDS, N-terminal	1245	1	8.6E-42	86.84								
c235623_g1_i1	4.909785087	9.669357897	5.96E-18	1.50E-15	[NO-BLAST]	c235623_g1_i1	---NA---	783											
c238312_g1_i3	3.049997507	7.35871283	1.12E-15	2.07E-13	[BLASTED, MAPPED]	c238312_g1_i3	SLM41038.1Basic-leucine zipper domain	3913	1	1.7E-64	58.93	2	P:GO:0006355; F:GO:0003700	P:regulation of transcription, DNA-templated; F:DNA-binding transcription factor activity					
c220244_g1_i1	4.573192993	8.935781252	6.39E-15	1.11E-12	[BLASTED]	c220244_g1_i1	CEL06390.1hypothetical protein ASPCAL07495	537	1	2.7E-10	50.0								
c244456_g1_i1	3.371660658	9.0269944	9.62E-14	1.48E-11	[BLASTED]	c244456_g1_i1	OQU95029.1hypothetical protein CLAIMM_01298	3186	1	6.6E-53	49.05								
c243202_g1_i3	2.88779317	7.276368576	2.31E-13	3.46E-11	[BLASTED, MAPPED, ANNOTATED]	c243202_g1_i3	OAL45841.1heme peroxidase	306	1	3.0E-44	87.04	6	P:GO:0006979; P:GO:0055114; P:GO:0098869; F:GO:0004601; F:GO:0020037; F:GO:0046872	P:response to oxidative stress; P:oxidation-reduction process; P:cellular oxidant detoxification; F:peroxidase activity; F:heme binding; F:metal ion binding	EC:1.11.1.7	Peroxidase			
c236610_g1_i1	3.000047416	6.02137757	1.81E-12	2.52E-10	[BLASTED, MAPPED, ANNOTATED]	c236610_g1_i1	SLM35402.1Mediator complex, subunit Med19, fungi	2428	1	6.9E-69	73.89	1	C:GO:0005634	C:nucleus					
c242588_g1_i1	2.807933938	6.299278731	3.72E-12	5.04E-10	[BLASTED, MAPPED]	c242588_g1_i1	KUI71888.1Oxygen-dependent choline dehydrogenase	5439	1	7.0E-255	63.79	4	P:GO:0055114; F:GO:0003824; F:GO:0016614; F:GO:0050660	P:oxidation-reduction process; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding					
c226564_g1_i1	2.084240468	8.452590179	5.11E-12	6.59E-10	[BLASTED, MAPPED, ANNOTATED]	c226564_g1_i1	SLM38257.1aquaporin rerated other eukaryote	858	1	1.8E-88	79.61	3	P:GO:0055085; F:GO:0015267; C:GO:0016021	P:transmembrane transport; F:channel activity; C:integral component of membrane					
c238754_g1_i2	3.488936173	9.357657194	4.54E-11	5.47E-09	[BLASTED, MAPPED, ANNOTATED]	c238754_g1_i2	ANM86422.1putative short-chain dehydrogenase/reductase	669	1	2.2E-110	89.96	2	P:GO:0055114; F:GO:0016491	P:oxidation-reduction process; F:oxidoreductase activity					
c241252_g1_i1	2.678763545	8.837167346	5.60E-11	6.61E-09	[BLASTED]	c241252_g1_i1	OCK80166.1lytic polysaccharide monooxygenase	3959	1	2.2E-56	58.94								
c241766_g4_i3	7.422020557	6.385218529	1.20E-10	1.38E-08	[BLASTED, MAPPED]	c241766_g4_i3	EXU95285.1reverse transcriptase domain protein	4279	1	1.9E-170	57.87	4	P:GO:0006278; P:GO:0015074; F:GO:0003676; F:GO:0003964	P:RNA-dependent DNA biosynthetic process; P:DNA integration; F:nucleic acid binding; F:RNA-directed DNA polymerase activity					
c240768_g1_i2	2.437319301	7.086637061	5.39E-10	5.74E-08	[BLASTED, MAPPED]	c240768_g1_i2	ORY16251.1hypothetical protein BCR34DRAFT_119438	5250	1	4.2E-31	49.19	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c235748_g1_i1	1.858731057	8.44309306	5.84E-10	6.12E-08	[BLASTED, MAPPED, ANNOTATED]	c235748_g1_i1	XP_001550611.1predicted protein	5380	1	5.3E-66	83.23	2	P:GO:0098869; F:GO:0004601	P:cellular oxidant detoxification; F:peroxidase activity	EC:1.11.1.7	Peroxidase			
c240682_g1_i1	1.656482483	9.835445512	1.41E-09	1.42E-07	[BLASTED]	c240682_g1_i1	SLM41414.1hypothetical protein LPUS_12406	4347	1	5.4E-40	45.23								
c244267_g1_i4	2.849543301	5.840106094	2.22E-09	2.20E-07	[BLASTED]	c244267_g1_i4	OCK76170.1hypothetical protein K432DRAFT_153346, partial	6450	1	3.6E-18	48.0								
c241256_g1_i4	2.316048517	5.71180562	3.40E-09	3.31E-07	[BLASTED, MAPPED]	c241256_g1_i4	CZR66068.1related to salicylate 1-monooxygenase	2173	1	2.2E-90	67.82	3	P:GO:0055114; F:GO:0004497; F:GO:0071949	P:oxidation-reduction process; F:monooxygenase activity; F:FAD binding					
c240155_g1_i1	1.8280044	7.769685593	5.16E-09	4.85E-07	[BLASTED, MAPPED]	c240155_g1_i1	SLM38592.1SPRY domain	5239	1	6.4E-205	74.39	2	P:GO:0051568; C:GO:0048188	P:histone H3-K4 methylation; C:Set1C/COMPASS complex					
c233804_g1_i4	5.201874339	10.14516969	9.10E-09	8.41E-07	[BLASTED, MAPPED]	c233804_g1_i4	CZR70062.1uncharacterized protein PAC_19963	933	1	8.8E-57	60.7	4	P:GO:0016311; P:GO:0035335; F:GO:0004725; F:GO:0016791	P:dephosphorylation; P:peptidyl-tyrosine dephosphorylation; F:protein tyrosine phosphatase activity; F:phosphatase activity					
c244567_g3_i2	1.962247218	8.381711038	1.64E-08	1.42E-06	[BLASTED, MAPPED, ANNOTATED]	c244567_g3_i2	SLM37089.1mfs phs inorganic phosphate transporter	760	1	2.5E-271	87.96	4	P:GO:0006817; P:GO:0055085; F:GO:0005315; C:GO:0016021	P:phosphate ion transport; P:transmembrane transport; F:inorganic phosphate transmembrane transporter activity; C:integral component of membrane					
c245290_g1_i8	2.402773378	7.184210194	2.05E-08	1.75E-06	[BLASTED]	c245290_g1_i8	SLM40082.1Beta-lactamase-like	5895	1	2.9E-102	59.55								
c245503_g1_i1	9.546334044	3.704769767	3.66E-08	2.94E-06	[BLASTED]	c245503_g1_i1	ESZ98114.1hypothetical protein SBOR_1493	1341	1	5.5E-52	50.97								
c240709_g1_i1	2.513511211	8.193766864	5.94E-08	4.64E-06	[BLASTED, MAPPED, ANNOTATED]	c240709_g1_i1	AEE65374.1non-reducing type I polyketide synthase	8118	1	0.0	87.83	4	P:GO:0009058; F:GO:0016740; F:GO:0016788; F:GO:0031177	P:biosynthetic process; F:transferase activity; F:hydrolase activity, acting on ester bonds; F:phosphopantetheine binding					
c245067_g1_i2	8.826108018	4.970018837	8.60E-08	6.62E-06	[BLASTED]	c245067_g1_i2	KZP05730.1hypothetical protein FIBSPDRAFT_666170, partial	2994	1	3.9E-74	51.14								
c240379_g1_i2	1.819767206	7.177696819	9.25E-08	7.03E-06	[BLASTED]	c240379_g1_i2	OCK73117.1sphingoid long-chain base transporter RSB1	2354	1	4.3E-68	75.35								
c226960_g1_i2	1.877230006	5.816960326	1.93E-07	1.32E-05	[BLASTED, MAPPED]	c226960_g1_i2	SLM35757.1Zinc finger, C2H2-like	3295	1	2.6E-39	47.87	1	F:GO:0003676	F:nucleic acid binding					
c238356_g1_i2	7.804018567	2.807632749	3.27E-07	2.19E-05	[BLASTED]	c238356_g1_i2	OCK87364.1DDE-domain-containing protein	1436	1	6.3E-30	60.24								
c243701_g1_i3	2.025942887	7.443414789	3.45E-07	2.25E-05
c234418_g1_i3	7.606452219	2.634097314	3.79E-07	2.44E-05	[BLASTED]	c234418_g1_i3	KDE04275.1hypothetical protein MVLG_05303	648	1	8.9E-8	73.33								
c245126_g1_i4	2.878482786	6.462411651	4.21E-07	2.68E-05	[BLASTED, MAPPED]	c245126_g1_i4	OOQ88356.1putative monooxygenase	8247	1	1.8E-116	70.18	3	P:GO:0055114; F:GO:0004497; F:GO:0071949	P:oxidation-reduction process; F:monooxygenase activity; F:FAD binding					
c236239_g1_i1	1.53139427	6.859829681	5.46E-07	3.41E-05
c237639_g1_i1	1.559456548	10.3709464	6.90E-07	4.21E-05	[BLASTED, MAPPED, ANNOTATED]	c237639_g1_i1	SLM34783.1sho1 osmosensor	1623	1	5.3E-124	80.24	3	F:GO:0005034; C:GO:0005886; C:GO:0016021	F:osmosensor activity; C:plasma membrane; C:integral component of membrane					
c212450_g1_i2	8.53726504	5.502152474	7.05E-07	4.25E-05	[BLASTED, MAPPED]	c212450_g1_i2	KFY97411.1hypothetical protein V500_02085	720	1	7.9E-21	62.91	1	F:GO:0005524	F:ATP binding					
c242651_g1_i2	1.463984712	7.691925017	8.13E-07	4.85E-05	[BLASTED, MAPPED, ANNOTATED]	c242651_g1_i2	KFY65135.1hypothetical protein V496_02778, partial	4843	1	2.6E-160	75.45	1	C:GO:0016020	C:membrane					
c245661_g1_i1	2.405120924	6.455472028	1.18E-06	6.93E-05	[BLASTED, MAPPED]	c245661_g1_i1	OXV06193.1hypothetical protein Egran_06039, partial	3541	1	7.2E-75	71.19	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
c245067_g2_i1	11.22068018	3.531288425	1.24E-06	7.25E-05	[BLASTED]	c245067_g2_i1	OCK92886.1hypothetical protein K441DRAFT_726165, partial	1239	1	4.2E-14	52.21								
c242545_g1_i2	2.122896117	6.954108872	2.85E-06	0.000148937	[BLASTED]	c242545_g1_i2	SLM33343.1Histidine phosphatase superfamily, clade-2	2971	1	4.6E-176	76.07								
c243534_g1_i5	2.508717918	6.152784155	3.34E-06	0.00017297	[BLASTED, MAPPED]	c243534_g1_i5	KFY02375.1hypothetical protein O988_02193	1707	1	1.4E-185	71.55	1	F:GO:0016787	F:hydrolase activity					
c245093_g2_i2	1.642177231	10.06244409	3.87E-06	0.000195031	[BLASTED]	c245093_g2_i2	SLM34874.1Protein of unknown function DUF3210	4446	1	6.0E-188	66.71								
c240332_g2_i1	1.593744688	6.799101804	4.04E-06	0.000201891	[BLASTED, MAPPED]	c240332_g2_i1	SLM33789.1mfs transporter	2619	1	8.5E-166	70.75	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c238824_g2_i1	1.478828466	7.360697391	4.39E-06	0.000215475	[BLASTED]	c238824_g2_i1	OCL11950.1hypothetical protein AOQ84DRAFT_171479	1700	1	9.4E-41	52.37								
c244180_g1_i2	8.806210064	3.297003171	4.73E-06	0.000227936	[BLASTED]	c244180_g1_i2	XP_001559506.1hypothetical protein BC1G_02171	1356	1	5.7E-89	68.55								
c240146_g1_i2	2.311178422	6.029476245	5.75E-06	0.000272844	[NO-BLAST]	c240146_g1_i2	---NA---	393											
c240917_g1_i1	1.314601641	7.040836046	6.31E-06	0.000294236	[BLASTED]	c240917_g1_i1	SLM36944.1hypothetical protein LPUS_06662	3540	1	2.1E-114	45.99								
c244703_g1_i3	1.811737352	6.161799194	8.60E-06	0.00039432	[BLASTED]	c244703_g1_i3	OCK80424.1branched-chain amino acid aminotransferase II	1299	1	4.9E-106	81.31								
c239394_g1_i4	1.232490137	8.052712249	9.94E-06	0.000448063	[BLASTED]	c239394_g1_i4	SLM33621.1exo-beta--glucanase	4451	1	1.5E-170	80.45								
c237777_g1_i1	1.750762161	9.264436884	1.04E-05	0.000459771	[BLASTED, MAPPED]	c237777_g1_i1	SLM41416.1Zn(2)-C6 fungal-type DNA-binding domain	6168	1	3.4E-165	63.2	8	P:GO:0006351; P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0003677; F:GO:0008270; F:GO:0046872; C:GO:0005634	P:transcription, DNA-templated; P:regulation of transcription, DNA-templated; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; F:metal ion binding; C:nucleus					
